name,domain,location,tagline,investors
emidat,https://www.emidat.com/,Germany,Environmental data solutions for construction industry,['general catalyst']
enapi,https://enapi.com/,Germany,Unified EV charging network,['voyager ventures']
energy dome,,Italy,Energy Storage,['various']
energy park,,United Kingdom,EV charging solution for apartment buildings,['zouk capital']
energydome,https://monta.app/,Italy,C02 energy storage solutions,energize ventures
enersee,,Belgium,Energy management software,['peak']
engflow,,Germany,Build acceleration for dev teams,"[' 2162', ' firstminute', 'tiger global']"
enode,,Norway,Digital infra for sustainable energy systems,['climate tech']
enpal,https://www.enpal.de/,Germany,Photovoltaics leasing firm,['various']
entalpic,,France,AI-driven materials discovery,['breega']
enter 21,,Germany,Home energy assessment,['target global']
entroview,,France,Battery software diagnostics,"['afi ventures', ' rethink ventures']"
enviria,,Germany,B2B solar solutions,"['redalpine', ' galileo green']"
enviria energy,,Germany,Energy solutions for commercial sector,['blackrock']
eo charging,,UK,EV charging solutions for fleets,"[' zouk capital', 'vortex energy']"
eoliann,https://www.eoliann.com/,Italy,Climate risk forecasting,['primo ventures']
epilot,,Germany,Green transition platform for utilities and grid operators,['expedition']
epoch biodesign,,UK,Biorecycling platform,['extantia']
epyr,,France,Industrial thermal energy storage,"[' daphni', 'aenu']"
est-floattech,,Netherlands,Maritime battery systems,['various']
ethonai,,Switzerland,AI-powered manufacturing analytics,"['earlybird', 'index ventures', ' la famiglia']"
ev.energy,,UK,EV charging app,['national grid partners']
evenergy,,Italy,EV managed charging software platform,['national grid partners']
evera,,France,EV subscription for businesses,['various']
everdrop,,Germany,Sustainable household brand,['sofina']
everyangle,,Ireland,Computer vision for venues and retailers,"[' act vc', 'sure valley ventures']"
evio,,Portugal,EV chargepoint platform,['lince capital']
evolutela,,Sweden,AI-powered automation platform,"[' round2 capital', 'nordea growth fund']"
exactly,,United Kingdom,AI art generation platform,['speedinvest']
fabric,,United Kingdom,"AI-native, multiplayer workspace & file explorer",['seedcamp']
fairly made,https://www.fairlymade.com/,France,Fashion traceability platform,['various']
fairmat,https://www.fairmat.com/,France,Carbon composite recycling,['slate']
fastway,,Italy,EV infrastructure,['azimut']
feld.energy,,Germany,Agri-PV solution,['hv capital']
flocean,,Norway,Subsea desalination,['various']
flower,,Sweden,Energy software platform,['northzone']
flowx.ai,,Romania,Development platform for FinTech,['dawn capital']
focal point,,UK,Next-gen positioning,['various']
focused energy,https://monta.app/,Germany,Laser-based nuclear fusion,energize ventures
foodpilot,,France,CSR tool for food industry,['various']
formalize,,Denmark,Whistleblower software platform,['blackfin']
forward earth,,Germany,Environmental management software,"['speedinvest', 'mosaic ventures']"
frequenz,,Germany,Autonomous mind platform,['various']
fuergy,https://www.fuergy.com/,Slovakia,Energy storage and management,['pro partners holding']
furbnow,,United Kingdom,Retrofitting homes,['sfc capital']
fuse,,United Kingdom,EV chargepoint management platform,['yfm equity partners']
fusebox energy,,Estonia,Energy flexibility supplier,['soulmates ventures']
gearset,https://www.gearset.com/,UK,DevOps solution for Salesforce,['silversmith capital']
gendo,,United Kingdom,Architecture AI platform,"['pt', ' lea partners']"
gitpod,https://www.gitpod.io/,Germany,Open source development platform,['tom preston-werner']
glint solar,,Norway,Solar developer software,['smedvig ventures']
goodcarbon,,Germany,Carbon offset platform,['ocean 14 capital']
goodwings,,Denmark,Climate-focused SaaS travel mgmt,['various']
gorilla,,Belgium,Real time data and analytics for energy companies,['headline']
gradyent,,Netherlands,Realtime digital twin platform,['blue earth capital']
granular energy,,France,Clean energy trading and management,['norrsken vc']
gravitee,,UK,API management,['rac']
green fusion,,Germany,Energy management platform for apartment buildings,"[' xange', 'hy capital']"
green genius,,Poland,Renewable energy developer,['ebrd']
green-y,,Switzerland,Compressed air energy storage,['schweizer kapital']
greenbids,,France,Sustainable adtech,"['elaia partners', ' famille c participations']"
greenfusion,https://monta.app/,Germany,Energy management software,energize ventures
greenly,https://greenly.earth/,France,Carbon accounting & management,['fisv']
greenlyte,,Germany,Direct Air capture,['earlybird']
greenlyte carbon,https://monta.app/,Germany,Direct air capture tech,energize ventures
greenscope,,France,ESG reporting platform,['existing investors']
greenspark,,UK,Impact as a service platform,['fuel ventures']
greyscout,https://greyscout.com/,Ireland,Online brand protection,"[' tribal', 'act vc']"
gridbeyond,,Ireland,Analytics & asset mgmt for energy sector,"[' klima', 'alantra']"
gridio,,Estonia,EV smart charging platform,['neoinvesteeringud']
gridseve,,UK,EV infrastructure,['infracapital']
h2green steel,,Sweden,Green steel provider,['various']
harmonic security,,United Kingdom,AI-focused cybersecurity,['ten eleven ventures']
hdm solar,,United Kingdom,Wholesaler of renewable energy products,"['angel invest', ' df capital']"
heat geek,https://heatgeek.com/,United Kingdom,Digital platform for heating engineers,['transition']
heatio,,UK,Home energy management,['ascension']
hexana,,France,Small modular reactors,['bpifrance']
hive power,https://www.hivepower.tech/,Switzerland,Advanced smart grid solution,['various']
hosite,,Spain,Hydrogen solutions provider,"[' suma capital', 'hy24']"
hula earth,,Germany,Biodiversity monitoring,['pointo']
hyperfox,,Belgium,Order automation platform,['various']
hysopt,,Belgium,Design software for HVAC installations,['various']
iceberg data lab,,France,Climate & biodiversity data provider,['beringea']
icustoms,,United Kingdom,Trade compliance platform,['fuel ventures']
identifal,,Italy,Verifying authentic content,['united ventures']
illumion,,United Kingdom,Charge photometry,['foresight group']
impact plus,,France,Carbon footprint optimisation for digital ad campaigns,['elevation capital partners']
in parallel,,Finland,AI-powered OS for businesses,['lifeline venture']
incident.io,,UK,Incident response platform,['insight partners']
infogrid,https://www.infogrid.io/,United Kingdom,ESG building intelligence,['northzone']
infrafleet,,UK,Eco-friendly equipment for infrastructure projects,['octopus investments']
infrared city,,Austria,Climate-aware city planning,['xista science ventures']
inicio,,France,Solar power development,"[' kima ventures', 'isai', 'various']"
inplanet,https://monta.app/,Germany,Enhanced Rock Weathering for CO2 removal,energize ventures
inspeq ai,,Ireland,Full stack AI Ops platform,['sure valley ventures']
instagrid,,Germany,Portable battery systems,['tvg']
instrugt,,Netherlands,Enabling self-service demos,['blossom capital']
integritynext,,Germany,Audit supply chains for ESG compliance,['eqt growth']
integrum esg,,United Kingdom,ESG data insights for asset managers,['yfm equity partners']
ionate,,United Kingdom,Smart electric grid transformer technology,['albionvc']
isometric,,UK,Carbon removal registry and science platform,"['lowercarbon capital', ' plural']"
iten,,France,Ceramic Li-ion micro-batteries,['various']
j4energy,https://monta.app/,Italy,Digital energy platform,energize ventures
jimmy,,France,Developer of thermal generators,['various']
jolt energy,,Germany,EV charging stations,['infrared capital partners']
jua,,Switzerland,Climate and weather generative AI model,"['ananda iv', ' future energy', ' green generation', '468 capital']"
juer,,Germany,EV charging solution,['vector venture capital']
kaizen,,UK,Regulatory compliance solution,['guidepost growth equity']
karomia,,Belgium,CSRD reporting platform,"['entourage ventures', ' imec.istart']"
kavaken,,United Kingdom,Software for renewable energy industry,['various']
kern al,https://kern.ai/,Germany,Open source platform for data scientists,"['seedcamp', ' faber']"
kim,,Germany,Regenerative agriculture-focused platform,['bnp paribas']
kit-ar,https://kit-ar.com/,United Kingdom,Augmented worker platform for manufacturing,"['3xp global', ' blue crow capital']"
kive,,Sweden,Creatives collaboration platform,"[' creandum', 'heartcore', ' eqt']"
klimate.co,,Denmark,Carbon management solutions,"[' helen ventures', 'eneco ventures']"
kolum,,Germany,EU carbon pricing compliance,['foodlabs']
krafiblock,,Germany,Energy storage systems,['shell ventures']
kvistsolutions,,Norway,Sustainability reporting for real estate and construction,['various']
langdock,,Germany,Avoiding vendor lock-ins with LLMs,"['gc', ' la famiglia']"
langfuse,https://www.langfuse.com/,Germany,Open source observability & analytics for LLMs,['lightspeed']
liefergran,,Germany,Sustainable last mile delivery,['capital']
lightsonic,,Norway,Distributed fiber optic sensing,['maki.ve']
lina,,United Kingdom,Low-cost solid-state sodium batteries,['various']
lithium salvage,https://www.lithiumsalvage.com/,United Kingdom,Lithium-ion battery recycling,['northstar']
liveeo,,Germany,Satellite analytics,"['nordicninja', ' dtcf', 'greencode ventures']"
loewi,,France,Refurbished ebikes marketplace,['various']
luminance,https://www.luminance.com/,United Kingdom,Legal-grade AI platform,['march capital']
lun 11,,Denmark,Software for heat pump installers,['various']
maeve aerospace,,Netherlands,Electric aircraft developer,['european innovation council']
magic lane,,Netherlands,Mapping and location platform,['no such ventures']
mainteny,,Germany,Software for service companies,['cusp capital']
maiven,,UK,Climate policy AI platform,['various']
makersite,https://makersite.io/,Germany,Supply chain digital twins,['hitachi ventures']
manex ai,https://manex.ai/,Germany,QMS for industrial customers,"[' blueyard', 'lightspeed']"
marcley,,Germany,PV solution for multifamily homes,"['virida', ' venture stars']"
marvel fusion,https://monta.app/,Germany,Laser-powered fusion,energize ventures
materrup,,France,Circular low-carbon cement plants,['eurazeo']
maya climate,,Germany,Nature-based carbon projects financing,"[' htgf', 'antler']"
mespac,,Italy,Offshore wind energy data solution,['axon partners group']
meteomatics,,Switzerland,Weather intelligence platform,['armira growth']
metergrid,,Germany,Software for decentralised energy systems,['hager group']
metris energy,,United Kingdom,Solar energy platform,"[' aenu vc', 'octopus ventures']"
metroc,,Finland,AI-powered tool for construction,['lifeline ventures']
mitiga solutions,,Spain,Risk modelling (climate tech),['kibo ventures']
monta,,Denmark,BEV charging platform,"['energize capital', 'energize ventures', ' greenpoint partners']"
montamo,https://www.montamo.com/,Germany,Heat pump installer,['alter equity']
moonwatt,,Netherlands,Energy storage,"[' lea partners', 'daphni']"
morfo,,France,Drones to repopulate forests,"['demeter', ' raise ventures']"
myenergi,,UK,Sustainable smart home,['energy impact partners']
nattergal,,United Kingdom,Nature restoration,['landsdowne partners']
naturbeads,,United Kingdom,Cellulose microspheres to replace microplastics,['eos advisory']
naturemetrics,,United Kingdom,Biodiversity monitoring solutions,['just climate']
neoom,,Austria,Decentralised energy systems,['summiteer']
net zero company,,Sweden,Carbon removal solutions provider,['various']
neustark,,Switzerland,Carbon removal provider,['decarbonization partners']
newcleo,,France,Nuclear energy,['various']
nexos.ai,,Netherlands,AI orchestration platform,['index ventures']
next matter,,Germany,Workflow automation platform,['omers ventures']
nido,,Spain,Heat pump technology platform,['various']
nium,,UK,Green ammonia tech,['agfunder']
nodes & links,,UK,Schedule management platform for construction,['etf partners']
nord secunty,,Netherlands,Internet privacy and security,['warburg pincus']
nortech al,,Norway,IoT solutions in maritime industry,"[' earlybird-x', 'indico']"
northvolt,,Sweden,Battery manufacturer,"['various', 'imco']"
notpla,https://www.notpla.com/,United Kingdom,Sustainable packaging,"[' green growth fund', 'ub forest industry']"
novatronfusion,,Sweden,Fusion energy,['climentum capital']
numalis,https://numalis.com/,France,Reliable and explainable AI,['various']
nyobolt,,UK,Fast-charging battery,"[' latitude', '1 capital', 'hc']"
oblivious,,Ireland,Confidential computing,['cavalry ventures']
ocell,,Germany,Platform for creating carbon credits,['capnamic']
octopus energy,https://octopus.energy/,UK,Energy supplier,['cppib']
ocuco,,Ireland,Eyecare software,['accel-kkr']
okto grid,,Denmark,Digitising grid assets,['various']
one click,,Finland,Decarbonisation platform,['psg equity']
opcharge,https://opcharge.com/,Netherlands,EV charging stations,['various']
open forest protocol,,Switzerland,Blockchain-based MRV platform,['various']
openvolt,,Ireland,API for energy data,['cavalry ventures']
opna,,UK,Carbon project financing platform,['atomico']
orbio earth,https://orbiom.com/,Germany,Global methane emission tracking,"['esa', ' initialized capital']"
orcanenergy,,Germany,Harvesting waste heat,['tilt']
ore energy,,Netherlands,Long-duration energy storage,['positron ventures']
ororatech,https://www.ororatech.com/,Germany,Wildfire detection satellite constellation,"['edaphon', 'korys']"
osapiens,,Germany,Supply chain transparency,"['gs growth', 'armia growth']"
otark,https://www.otark.com/,Germany,Green energy trading platform,['various']
overstory,,Netherlands,Vegetation intelligence platform,['convective capital']
oxccu,,UK,Sustainable aviation fuel,['various']
oxwash,,UK,On-demand sustainable laundry,['untitled vc']
palats,,Sweden,Platform for material & inventory management,['agv invest.']
paptic,,Finland,Sustainable packaging materials,"['ecbf', ' ecolab']"
pelikan mobility,,France,Commercial fleet electrification,['various']
perpetual next,,Netherlands,Bio carbon production,['momentum capital']
phasecraft,,UK,Developing quantum algorithms,['playground global']
phelas,,Germany,Energy storage systems,['e44 ventures']
piclo,,United Kingdom,Energy flexibility marketplace,"[' clean growth fund', 'future energy ventures']"
pigment,,France,Business planning software,['iconiq growth']
pionix,https://pionix.com/,Germany,Open source software for EV charging infra,"[' pale blue dot', 'yabeo impact']"
plana,,Germany,Sustainability platform,['lightspeed']
planetwatchers,,UK,Crop monitoring,['seraphim space']
planted,,Germany,ESG management platform,['various']
podero,https://www.podero.com/,Austria,Energy optimisation software for utilities,[]
polarium,https://polarium.com/,Sweden,Energy storage solutions,['various']
polymateria,,UK,Biodegradable plastic,['various']
powall,,Netherlands,Ultra thin coating for sustainable materials,"[' invest nl', 'sandwater']"
predium,,Germany,Sustainable real estate management,['b2venture']
previsico,,UK,Predicting & preventing flood impacts,"[""'24haymarket""]"
prewave,,Austria,AI driven supply chain platform,['hedosophia']
proba,,Netherlands,Agri-food decarbonisation,['various']
product fruits,,Czech Republic,AI driven digital adoption platform,['various']
promethean particles,,United Kingdom,Carbon capture materials production,['aramco ventures']
protex ai,,Ireland,AI-powered workplace safety platform,['hedosophia']
provenrun,,France,IloT security,['tikehau capital']
proxima fusion,,Germany,Fusion power plants,"['plural platforms', ' uvc partners', ' uvc', 'plural']"
préts,,Netherlands,Embedded finance in sustainable home renovation,['various']
pulsetrain,,Germany,Battery management and inverter technology,"[' planet a', 'vsquared']"
purpose green,,Germany,Decarbonising the building sector,['fifth wall']
push security,,UK,SaaS app monitoring,['ev']
pvcase,,Lithuania,Solar project design,"[' energize', 'highland europe']"
pydantic,https://pydantic-docs.helpmanual.io/,UK,Open source data validation framework,['sequoia']
qdrant,https://qdrant.tech/,Germany,Open source vector database,['unusual ventures']
qio technologies,,UK,AI powered industrial sustainability,['wave equity partners']
qnetpurpose,,UK,Fact-base for sustainable investors,['etf partners']
qovoltis,https://qovoltis.com/,France,Smart EV charging stations,['epopée gestion']
quantexa,,UK,Decision intelligence platform,['ivg']
quantum systems,,Germany,AI-powered drone robotics,"['hv capital', ' dtcp']"
quixotic,,Spain,Energy management software provider,"[' bynd', 'demium']"
qvantum energi,,Sweden,Electric heat pump systems,"['thomas von koch', ' imas foundation']"
rabot charge,,Germany,Digital green energy supplier,"['hy capital', 'yabeo impact fund']"
radical dot,,Germany,Chemical recycling technology,"[' visionaries', 'uvc partners']"
raicoon,,Austria,Autonomous solar panel operations,"['push vc', ' voltares']"
rainbow,,UK,Solar installation services,['various']
recycleye,https://www.recycleye.com/,UK,Waste robotics,['dcvc']
recyda,,Germany,Package recycling platform,['_—spedinvest']
reel,,Denmark,Renewable electricity supplier,['transition global']
refuel green,,Germany,Cost-effective production of e-fuels,['htgf']
renaissance fusion,https://www.renaissancefusion.com/,France,Nuclear fusion technology,"['lowercarbon capital', 'crédit mutuel impact']"
renew risk,,UK,Risk modelling and analytics for renewable energy assets,['moten ventures']
reonic,,Germany,Workflow for installers and sellers in renewables,['northzone']
resoniks,https://www.resoniks.com/,Netherlands,AI for industrial quality control,['kvanted']
resourcity,,Germany,Waste mgmt & recycling platform,['vorwerk ventures']
responsibly,,Denmark,Sustainability due diligence of suppliers,"[' pi labs', 'hambro perks']"
retraced,https://retraced.com/,Germany,Apparel supply chain sustainability,['partech']
risilience,https://www.risilience.com/,UK,Climate analytics,['quantum energy partners']
riverse,,France,Carbon crediting standard,"['aven', ' racine']"
robovision,,Belgium,AI-powered industrial automation,"['astanor ventures', ' target global']"
root signals,,Finland,LLM app evaluation platform,['angular ventures']
rulemapping group,,Germany,Solution for rule-based processes,"['sprind', ' hidden peak capital']"
safegrid,,Finland,Intelligent grid system,['ajanta']
samara,,Spain,Solar installations for households,"['green generation fund', ' move energy']"
sastrify,,Germany,SaaS procurement platform,['endeit capital']
satelite vu,,UK,Thermal imaging satellite constellation,['motten ventures']
scale energy,,Germany,Decentralised battery storage,['climentum capital']
scalera,,Switzerland,A in public construction procurement,['firstminute capital']
scanmetals,https://www.scanmetals.com/,Denmark,Metals recycling,['core sustainability capital']
schiittflix,,Germany,Construction marketplace,['various']
screendragon,,United Kingdom,Workflow automation,"[' federated hermes pe', 'kennet partners']"
segana,,Germany,Measuring climate impact of carbon farming projects,"[' counteract', 'htgf']"
sekoia,,France,Real-time detection of cyberattacks,['various']
sekoia.io,,France,Unified security platform,"['revaia', 'various']"
seloxium,,UK,Metal purification technology,"[' mks pamp', 'ose']"
senken,,Germany,Trading platform of on-chain carbon credits,['obvious ventures']
serviceacharger,,Germany,EV charging infrastructure,['bp ventures']
shippeo,,France,Realtime multimodal transportation visibility,['woven capital']
sifflet,,France,Data observability platform,['eqt ventures']
sikoia,https://sikoia.com/,UK,Unified data platform for counterparty risk,['massmutual ventures']
sirius,,Netherlands,Sustainability twin for metals & mining,"['blackwood ventures', 'nap']"
sirona,,Belgium,Direct air capture technology,"[' xange', 'locaiglobe']"
skyfora,,Finland,Weather intelligence platform,"[' lumo labs', 'ugly duckling ventures']"
skyqratt,,Sweden,Grid inspection platform,['various']
skysun,,Belgium,Solar panels for businesses,['various']
smalt,https://www.smalt.com/,Germany,Talent dev & services platform for the green trades sector,['noa (formerly a/o proptech)']
smpnet,,UK,Smart energy grid technology,['marathon venture capital']
snerpapower,,Iceland,Energy solutions for power intensive industries,"['crowberry capital', ' backingminds']"
soil capital,,Belgium,Regenerative agriculture,['trill impact ventures']
solar materials,,Germany,Recycling photovoltaic modules,['bmp ventures']
soldera,,Estonia,Guarantees of origin platform,['lifeline ventures']
solfy,,Spain,Solar energy marketplace,['ona capital']
solskin,,Switzerland,Adaptive solar skin,['various']
solvo.al,https://solvo.ai/,UK,Automated supply chain software,"['frontline', ' speedinvest']"
southern lights,,Sweden,Project management for hydrogen projects,['greencode ventures']
