id,name,domain,Location,LocationEmployees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),Investors,LinkedIn Profile (Founders/CEOs),In Energize Affinity,Employees (Current)
283486185,Generational Ruminations,7gen.com,"Vancouver, Canada",,6.06,Series A,8000000.0,Siemens Financial Services,Shayna Rector Bleeker (Cofounder & VP Strategic Partnerships): https://linkedin.com/in/shaynarector,True,35.0
d1359475-343d-4b39-918c-f22b18a111ac,8 rivers,,"Durham, CA",,,,,,,False,
162592950,80 Acres Farms,80acresfarms.com,"Hamilton, Montana",,-5.26,,115000000.0,Barclays Climate Ventures,Mike Zelkind (CEO): https://linkedin.com/in/mike-zelkind-5113624,True,162.0
287621926,8090 Industries,8090industries.com,"New York, NY",,20.0,,,,"Rayyan Islam (Co-Founder and General Partner, Industrial Decarbonization): https://linkedin.com/in/rayyanislam",True,12.0
125394565,8base,8base.com,"Miami, FL",,,,,,,False,
296722047,8inks,8inks.com,"Schlieren, Switzerland",,,,,,,False,
272564602,900.care,900.care,"Paris, France",,,,,,,False,
284887450,99 Counties,99counties.com,"Chicago, Illinois",,0.0,Other,3724999.0,,Christian E. (Chief Executive Officer): https://linkedin.com/in/cebersol,True,5.0
3e15f743-b1be-4990-a377-24e9eb2af7ea,99minutos,https://99minutos.com/,"Mexico City, Mexico",,,,,,,False,
9adac7d1-bc96-4ee0-94c0-8d3b62ed873c,aalo atomics,https://www.aaloatomics.com/,"Toronto, Canada",,,,,,,False,
5abde552-b72c-4996-9f70-3236583beedf,ab carval,,"Minneapolis, MN",,,,,,,False,
283093744,Abatable,abatable.com,"London, United Kingdom",,17.65,Other,13500000.0,Azora Capital,Valerio Magliulo (Co-Founder): https://linkedin.com/in/valerio-magliulo-51541531,True,40.0
291704117,ABB E-Mobility,e-mobility.abb.com,"Zurich, Switzerland",,,,,,,False,
129647a5-78c8-46e3-9cc4-f40d609594e6,abodu,,"Redwood City, CA",,,,,,,False,
04b73059-76ca-443e-8719-541ca570bf33,abolis,,"Evry, France",,,,,,,False,
291379405,About:Energy,aboutenergy.io,"London, United Kingdom",,-6.25,Seed,1500000.0,Mandeep Manku,Gavin White (Founder / CEO): https://linkedin.com/in/gavinwhite-eng,True,30.0
225197154,Absolute Foods,absolutefoods.in,India,,,,,,,False,
42838bf2-6f68-45c6-ba4d-72d064cddad9,accacia,https://accacia.com/,Singapore,,,,,,,False,
287669743,Accelergen Energy,accelergen.com,"Austin, Texas",,0.0,,20000000.0,Overlay Capital,Thomas houle (Chief Executive Officer): https://linkedin.com/in/thomas-houle-0498a4241,True,9.0
294626080,Acceleron Fusion,acceleron.energy,"Cambridge, MA",,,,,,,False,
288577476,Accelsius,accelsius.com,"Austin, TX",,,,,,,False,
280235726,ACCURE - Battery Intelligence,accure.net,"Aachen, Germany",,-3.03,Series B,16000000.0,Incharge Capital Partners,,True,64.0
289181841,ACE Green Recycling,acegreenrecycling.com,India,,,,,,,False,
284879343,Acel Power,acelpower.com,"Vancouver, Canada",,6.67,Series A,10000000.0,Brad Allen of Tau,John Liu (Co-Founder): https://linkedin.com/in/john-liu-a5055988,True,16.0
121080341,Acerta Analytics,acerta.ca,"Kitchener, Canada",,,,,,,False,
167774f1-4931-4ba3-8df7-723dbe7b79b5,aclarity,,"Hadley, MA",,,,,,,False,
1791524,Aclima,aclima.io,"San Francisco, California",,2.0,Debt,13000000.0,Leonid Capital Partners,Davida Herzl (Co-Founder & CEO): https://linkedin.com/in/davida-herzl-44b69123,True,92.0
286719740,ACON S2 Acquisition Corporation,acons2.com,,,,,,,,False,
34968849,Acre Venture Partners,acre.vc,"Santa Monica, CA",,0.0,Investment Fund,140000000.0,,Lucas Mann (Co-Founder & Managing Partner): https://linkedin.com/in/lucas-mann-4370221b5,True,6.0
219981365,AcreTrader,acretrader.com,"Fayetteville, Arkansas",,-29.63,Series B,60000000.0,Revolution's Rise of the Rest Seed Fund,,True,38.0
301356683,ACT-ion Battery Technologies,act-ion.com,"Dallas, TX",,,,,,,False,
163314594,Active Impact Investments,activeimpactinvestments.com,,,0.0,Investment Fund,51028040.0,Co-operators Corporate Venture Capital Fund,Mike Winterfield (Founder and Managing Partner): https://linkedin.com/in/mike-winterfield-827408,True,13.0
c6c06eba-e36f-4619-ab36-89ebe9bd508b,active surfaces,,"Woburn, MA, U.S.",,,,,,,False,
285127419,Adamo Foods,adamofoods.com,London,,,,,,,False,
3c36de5f-9160-4ae5-a08f-da53b027d400,adaptis technologies,,"Toronto, Canada",,,,,,,False,
298684806,Adaptive Insurance,adaptiveinsurance.com,"Austin, Texas",,0.0,Seed,5000000.0,private funders,,True,3.0
a55231b2-bedd-41bb-898a-f55270978e97,adden energy,,"Waltham, MA",,,,,,,False,
4d15cde9-62ad-4aca-a913-8a30ee5e5f65,addenergie,,Quebec City,,,,,,,False,
222258768,ADDIONICS,addionics.com,"London, U.K.",,,,,,,False,
18cbb90e-3dfc-4abf-ab06-ce7f63f4846b,addis energy,https://www.addisenergy.com/,"Somerville, MA",,,,,,,False,
290133214,Adept Materials,adeptmaterials.com,"Somerville, MA",,,,,,,False,
ce93dbcf-c035-48c2-bc82-14b1f1f20a4f,adionics,https://www.adionics.com/,"Les Ulis, France",,,,,,,False,
9edfce5c-e761-4fd2-917f-39b89cd38e8a,adsorbi,https://adsorbi.com/,"Gothenburg, Sweden",,,,,,,False,
e914fa4f-24ee-4c91-9b11-d5f8e4de8254,advanced cooling technologies,,"Lancaster, CA",,,,,,,False,
205501603,Advanced Electric Machines,advancedelectricmachines.com,"Washington, U.K.",,,,,,,False,
4ec09657-f9ea-49be-9c2a-d7896afed8b9,advanced electric machines (aem),,"North Sunderland, UK",,,,,,,False,
205504486,Advanced Farm Technologies,advanced.farm,"Davis, California",,-37.14,Series B,25000000.0,Yamaha Motor Corporation,Marc Grossman (Chief Executive Officer): https://linkedin.com/in/marc-grossman-78051a22,True,22.0
223570042,Advanced Ionics,advanced-ionics.com,"Milwaukee, Wisconsin",,0.0,Other,6700000.0,Argosy Foundation,,True,21.0
f571d06a-d549-4b99-8788-fd37ff72960c,advancedag,,"Raymond, Canada",,,,,,,False,
295753955,Advancing Eco Agriculture,ryanolsenphotographer.com,"Middlefield, OH",,,,,,,False,
74dea0ef-f6c8-45ce-8d66-b228088e461e,advano,,"New Orleans, USA",,,,,,,False,
16914413-ccb4-4203-8152-64261f37880d,advanta seeds,,Dubai,,,,,,,False,
85f644cb-a11a-4eaa-b896-989633fb88e5,advent technologies,,,,,,,,,False,
293412607,Advex AI (PearX S23),advex.ai,"San Francisco, California",,75.0,Seed,3500000.0,Pear VC,Asriel H. (Co-Founder & CTO): https://linkedin.com/in/asrlhan,True,7.0
527c321e-66d4-4435-a2aa-592b7d5683b5,aea-bridges impact corp.,,,,,,,,,False,
221179252,aedifion,aedifion.com,"Cologne, Germany",,18.64,Series B,17000000.0,Phoenix Contact Innovation Ventures,Erik Brümmendorf (Head of Engineering & Co-Founder @ aedifion ): https://linkedin.com/in/erik-br%C3%BCmmendorf-117149155,True,70.0
280531479,Aegir Insights,aegirinsights.com,"Copenhagen, Denmark",,-5.26,Series A,8500000.0,Seaya Andromeda,"Scott Urquhart (CEO, Founder): https://linkedin.com/in/scott-a-urquhart",True,36.0
b5c0f977-7070-4c95-8bd8-961bbe053d4a,aegis energy,,"Wakefield, U.K.",,,,,,,False,
1788073,AEInnova,aeinnova.com,"Terrassa, Spain",,-7.41,,2639250.0,,,True,25.0
78830256,Aemetis,aemetis.com,"Cupertino, CA",,,,,,,False,
283090882,Aepnus Technology,aepnus.com,"Oakland, California",,-16.67,Seed,8000000.0,Gravity Climate Fund,"Bilen Akuzum, Ph.D. (Co-Founder, CTO): https://linkedin.com/in/bilen-akuzum",True,10.0
7541f4bf-f57c-410d-a4bd-c83e644f89a7,aerem,,India,,,,,,,False,
82448a25-85e9-458b-9aef-8080b4630ec7,aerleum,https://www.aerleum.com/,"Strasbourg, France",,,,,,,False,
1545517,AeroFarms,aerofarms.com,"Newark, NJ",,,,,,,False,
6f4d4a86-8349-419b-9792-9062c41f06f8,aerones,https://www.aerones.com/,"San Jose, CA",,,,,,,False,
c189dab9-635a-45c4-934c-9942fa9a1bd0,aeroseal,,"Dayton, OH",,,,,,,False,
0a8a0e9d-383f-4a5e-99bf-69cac8a38d10,aeroshield,,"Cambridge, MA",,,,,,,False,
a4c44097-63da-4e45-89ab-2a46cdfccd25,aeroshield materials,,"Boston, MA",,,,,,,False,
161837722,Aether Bio,aetherbio.com,"Menlo Park, California",,-25.0,Series A,49000000.0,Jay Zaveri at Natural Capital,Chase Armer (Cofounder): https://linkedin.com/in/chasearmer,True,27.0
a7003855-2a2e-4a72-9f2e-2a038fe3034d,aether diamonds,https://www.aetherdiamonds.com/,"New York, NY",,,,,,,False,
290082831,Aether Fuels,aetherfuels.com,"Chicago, Illinois",,27.27,Series A,34000000.0,Doral Energy-Tech Ventures,Conor Madigan (Founder and CEO): https://linkedin.com/in/conor-madigan-1841b513,True,28.0
fd307c49-6312-44b4-892a-40e4d475cfad,aev robotics,,Australia,,,,,,,False,
5e8e6422-713f-438b-ab09-a44e0d296262,afresh technologies,https://www.afresh.com/,"San Francisco, CA",,,,,,,False,
6c88f6f0-bec9-44de-8932-b9fa7f0268fc,afryen neoxy,,"Saint-Avold, France",,,,,,,False,
157666368,AG5,ag5.com,"Amsterdam, Netherlands",,,,,,,False,
a0be9bcd-324b-457d-be5a-ae5e62454724,agbiome,,"Durham, NC",,,,,,,False,
278508917,Agilitas Energy,agilitasenergy.com,"Wakefield, NY",,,,,,,False,
eff5f6b8-e8ea-44ac-a808-c4a1e034904f,agnext technologies,,"Chandigarh, India",,,,,,,False,
ffae300f-72ad-40d4-80c2-810b7f8a65b2,agora systems,,"San Francisco, CA",,,,,,,False,
255152447,Agragene,agragene.com,"San Diego, Calif.",,,,,,,False,
283163312,Agreena,agreena.com,"Copenhagen, Denmark",,19.0,Series B,46000000.0,farmer angel investors,Julie Koch Fahler (Head of Operations & Co-Founder): https://linkedin.com/in/juliekfahler,True,237.0
4ef6bfca-f68c-413b-b8d3-56ae0a0726c0,agricarbon,https://www.agricarbon.com/,"Dundee, United Kingdom",,,,,,,False,
1668800,Agriconomie,agriconomie.com,"Coole, France",,1.49,Series B,60000000.0,Aliment Capital (formerly Pontifax AgTech),Clément Le Fournis (Co-founder and COO): https://linkedin.com/in/cl%C3%A9ment-le-fournis-76362241,True,136.0
e2ae7271-abb1-4859-a103-ff87b2e4760f,agricycle global,,"Milwaukee, WI",,,,,,,False,
4d740913-cbd7-473c-b6b2-4ebfd5f977e7,agrig8,,Singapore,,,,,,,False,
156979793,Agriloops,agriloops.com,"Paris, France",,,,,,,False,
65dd94d2-c359-40f1-9285-41ae23cfd414,agritask,https://agritask.com/,Israel,,,,,,,False,
ebff386f-5bc6-4a25-914f-a9f8957dd575,agritech innovations,,"Nairobi, Kenya",,,,,,,False,
1656862,AgriWebb,agriwebb.com,Australia,,,,,,,False,
4a96ed07-9ecc-4b58-ad89-fb38011326b2,agrobiomics,,"Copenhagen, Denmark",,,,,,,False,
a3f91147-0869-4db0-8cea-0f8274d7569f,agrolend,,"São Paulo, Brazil",,,,,,,False,
262819303,Agrology,agrology.ag,"Alexandria, Virginia",,7.14,Seed,,Active Impact Investments,Tyler Locke (CTO & Cofounder): https://linkedin.com/in/tylerlocke,True,15.0
5c59fd66-45f1-4b9a-97fc-f778eafa77a4,agrospheres,https://www.agrospheres.com/,"Albemarle County, VA",,,,,,,False,
224002751,AgroUrbana,agrourbana.ag,Chile,,,,,,,False,
295897654,Agteria Biotech,agteria.com,"Stolkhom, Sweden",,,,,,,False,
295897654,Agteria Biotech,agteria.com,"Stockholm, Sweden",,,,,,,False,
efb0d2fa-b397-4481-9a60-c7067a6c31fa,agtonomy,https://www.agtonomy.com/,"San Francisco, California",,,,,,,False,
285118245,Agurotech,agurotech.com,Amsterdam,,,,,,,False,
284394072,AgZen,agzen.com,"Somerville, MA",,,,,,,False,
ae99c99d-0cfd-413a-96bb-a7f5050d14c8,aichi automobile co.,,China,,,,,,,False,
8e481fc0-9cd0-41fd-9624-4d92e177276c,aicrete,https://www.aicrete.com/,"Richmond, CA",,,,,,,False,
28db9e33-39f5-4ce1-aab2-86bbd9e0b2c8,aidash,https://www.aidash.com/,"San Jose, CA",,,,,,,False,
290396595,aifleet,aifleet.com,"Austin, Texas",,8.97,Series B,17000000.0,Tom Williams at Heron Rock,"Dániel GERGELY (Co-Founder, Senior Vice President of Engineering): https://linkedin.com/in/dgergely",True,85.0
287770819,Aikido Technologies,aikidotechnologies.com,"San Francisco, California",,28.57,Seed,4000000.0,Anthropocene Ventures,"James Reeves (Chief Engineer, Co-founder): https://linkedin.com/in/james-reeves-6997b324",True,9.0
282691189,Ailytics,ailytics.ai,Singapore,,,,,,,False,
f391216e-14be-41a0-ba99-b73c745b9ca3,aim intelligent machines,,"Redmond, WA",,,,,,,False,
b5c73ff7-bfa2-4737-85a4-4e2efd38b6ea,aip management,,"Nashville, TN",,,,,,,False,
296385050,AIPERIA,aiperia.com,"Großrinderfeld, Germany",,0.0,Series A,7500000.0,LBBW VC,,True,48.0
296474153,Air Aware Labs,airawarelabs.com,"London, England",,,,,,,False,
224646283,Air Protein,airprotein.com,"Pleasanton, CA",,,,,,,False,
e83aa375-5239-4be2-a26c-d65d4013b0de,aira technologies,,"San Francisco, CA",,,,,,,False,
118b6244-eb0e-4364-bfb1-92d9b7bc8435,airbound,https://www.airbound.com/,"Bengaluru, India",,,,,,,False,
dcf5ad61-73cd-4fee-984a-a70a29f5c0c2,aircapture,https://aircapture.com/,"Berkeley, CA",,,,,,,False,
047aa7e5-fb0d-423f-984c-d23d3f18918b,aircarbon exchange,https://www.aircarbon.co/,Singapore,,,,,,,False,
283957526,Airforestry,airforestry.com,"Uppsala, Sweden",,10.0,Seed,10300000.0,Kiko VC,Mauritz Andersson (Co-Founder and CTO): https://linkedin.com/in/mauritz-andersson-8097003,True,33.0
2e86fa67-77e5-4320-9cd1-1c4cf6b9f159,airhouse,https://www.airhouse.io/,"San Francisco, CA",,,,,,,False,
bfea3572-ae05-4963-af67-e5ae5e87e7b1,airjoule technologies,,"Newark, DE",,,,,,,False,
1a4de302-8cd5-460c-a9fe-b6afab607b22,airly,https://airly.eu/,"Krakow, Poland",,,,,,,False,
286688988,Airmo.io,airmo.io,"Weßling, Germany",,29.41,Seed,5700000.0,Antler,Tereza Boynova (Founder Associate): https://linkedin.com/in/tereza-boynova,True,22.0
284820018,AirMyne,airmyne.com,"Berkeley, CA",,,,,,,False,
1721646,Airtable,airtable.com,"San Francisco, California",,5.92,Late Stage,735000000.0,ICONIQ Growth,,True,769.0
129731303,Airthium,airthium.com,"Paris, France",,,,,,,False,
276158026,AirWorks Solutions,airworkssolutions.com,"Boston, MA",,,,,,,False,
9fef7305-95b2-403b-b26f-5ecfbe822514,aistech space,,Barcelona,,,,,,,False,
124896535,Aiven,aiven.io,"Helsinki, Finland",,-14.52,Series D,210000000.0,World Innovation Labs,Dave Dyer (CEO Advisor): https://linkedin.com/in/dyerdave,True,412.0
293412307,Akaysha Energy,akayshaenergy.com,"Cremorne, Australia",,,,,,,False,
280231292,Akorn Technology,akorn.tech,"Berkeley, CA",,,,,,,False,
1643743,Alba Orbital,albaorbital.com,"Glasgow, Scotland",,,,,,,False,
220500976,Alcazar Energy,alcazarenergy.com,Luxembourg,,,,,,,False,
223154585,alcemy,alcemy.tech,"Berlin, Germany",,16.39,Series A,10000000.0,Galvanize Climate Solutions,Leopold Spenner (Co-Founder / CEO): https://linkedin.com/in/leospenner,True,71.0
213995113,Aleph Farms,aleph-farms.com,"Rehovot, Israel",,,,,,,False,
284812517,Alga Biosciences,alga.bio,"San Francisco, CA",,,,,,,False,
b67a02eb-203b-4254-aa9f-0a086c8704d9,algae factory,,"Göteborg, Sweden",,,,,,,False,
1564155,Algebris Investments,algebris.com,London,,,,,,,False,
284981682,Algiecel,algiecel.com,"Odense, Denmark",,,,,,,False,
141755541,AlgiKnit,algiknit.com,New York,,,,,,,False,
262825188,Alight,alight-energy.com,"Stockholm, Sweden",,14.44,Debt,48071840.0,SEB,Richard Nicolin (Founder & CFO): https://linkedin.com/in/richard-nicolin,True,103.0
ce1802e8-4d87-4416-a74e-2f9bd774c896,aligned climate capital,,New York City,,,,,,,False,
2885969,Allbirds,allbirds.com,"San Francisco, California",,-21.96,Public Markets,300000000.0,T. Rowe Price,James Cox (Chief Executive Officer): https://linkedin.com/in/james-cox-371aa4197,True,437.0
cc77a97e-9e3e-4a40-a1ee-dcf02cfae00f,allegro energy,,"Newcastle, Australia",,,,,,,False,
3941036,Allergy Amulet,allergyamulet.com,"Madison, WI",,,,,,,False,
220445243,allinfra,allinfra.com,"None, Hong Kong",,-6.25,Series A,6000000.0,Nomura,Ronnie Potel (Co-founder): https://linkedin.com/in/ronnie-potel-387a4411,True,15.0
265034233,Allonnia,allonnia.com,"Boston, Massachusetts",,1.69,Series A,30000000.0,Wholestack,Nicole Richards (Chief Executive Officer): https://linkedin.com/in/nicole-richards-3268b07,True,60.0
223163227,Allotrope Energy,allotrope.energy,"Alsager, United Kingdom",,0.0,Other,6700000.0,Suzano Ventures,,True,2.0
259494398,Allozymes,allozymes.com,Singapore,,,,,,,False,
136317587,Allstacks,allstacks.com,"Raleigh, NC",,,,,,,False,
223971556,Allume Energy,allumeenergy.com,"Melbourne, Australia",,0.0,Other,1500000.0,The Schmidt Family Foundation,"Nick H. (Co Founder, Business Development Lead): https://linkedin.com/in/nick-h-75658951",True,44.0
197493329,Allumia,allumia.com,"Seattle, Washington",,22.22,Series A,7500000.0,JW Asset Management,"Quintin Barnes (VP, Co-Founder): https://linkedin.com/in/quintinbarnes",True,11.0
291358327,Allye,allye.com,"London, United Kingdom",,5.56,,900000.0,Alpha Future Funds,Lorenzo Bergamaschi (Co-founder & CTO): https://linkedin.com/in/lorenzo-bergamaschi-,True,19.0
05b076c1-98d8-43c3-abdc-4e38a4fe7965,alpha grid,,"San Francisco, CA",,,,,,,False,
286905740,Alrik,alrik.com,"Stockholm, Sweden",,-20.0,Seed,1000000.0,Pi Labs,Axel Enblad (Founder & COO): https://linkedin.com/in/axel-enblad-ab97868b,True,16.0
e3ca67da-c24b-4986-8a3a-c203d2170598,also capital,https://www.alsocapital.com/,New York,,,,,,,False,
286458055,Alsym Energy,alsym.com,"Woburn, MA",,,,,,,False,
2be81d64-1aa9-4476-a5b5-576643192529,alt carbon,,"Bengaluru, India",,,,,,,False,
5a0f6906-d8f3-4cbc-869b-17c79b955d76,alt mobility,,"New Delhi, India",,,,,,,False,
289964060,Alt.Leather,alt-leather.com,"Melbourne, Australia",,,,,,,False,
296129459,Alta Resource Technologies,altatech.io,"Boulder, Colorado",,57.14,Seed,4400000.0,Orion Industrial Ventures,,True,11.0
381d1483-4ea0-4289-a355-70c5d5532bb4,alternō,,Singapore,,,,,,,False,
268031184,AlterPacks,alterpacks.com,Singapore,,,,,,,False,
3a555276-50e7-43c4-83b1-92dff9f108eb,alterβiota,https://alterbiota.com/,"Edwardsville, Canada",,,,,,,False,
b3763da3-32b5-412f-b041-118258e8c285,alteva,,"Cologne, Germany",,,,,,,False,
7d629a29-f21a-4b03-8bed-74dcf137d87a,altigreen propulsion labs,,India,,,,,,,False,
516c7c8c-eed7-46df-bfce-7c4546fc015f,altilium,,"London, U.K.",,,,,,,False,
f0828b70-26d2-4476-b062-af75c1b3cb59,altris,,Sweden,,,,,,,False,
593c0422-2e60-439d-815c-08760d1e468e,altrove,,Paris,,,,,,,False,
d898c1b4-5588-4a4a-afdf-d31dd10a7a10,altruistiq,https://www.altruistiq.com/,U.K.,,,,,,,False,
97d48dd2-cc3a-438e-8493-cd6d37d5122f,altus power,,"Stamford, CT",,,,,,,False,
223689732,Alvéole,alveole.buzz,"Montreal, Canada",,-21.79,Series A,8100000.0,Round13,Étienne Lapierre (Co-founder - Urban Beekeeper): https://linkedin.com/in/etiennelapierre,True,122.0
288622539,Alō Index,aloindex.com,"Hartford, CT",,,,,,,False,
fb7dfe19-9f5d-4ea5-92c8-d2e7800c43aa,am batteries,,"Chelmsford, MA",,,,,,,False,
d883be32-467c-4e31-8ae6-8b400287e8ae,amarenco,,"Cork, Ireland",,,,,,,False,
1a348850-855d-4286-8225-3098c5b12355,amatera,,"Paris, France",,,,,,,False,
190d4f9b-e011-4db4-a899-4ae83c181a35,ambercycle,https://www.ambercycle.com/,Los Angeles,,,,,,,False,
283459165,Ambient Fuels,ambientfuels.com,"New York, New York",,-21.74,Other,250000000.0,SJF Ventures,Jacob Susman (CEO & Co-Founder): https://linkedin.com/in/jacob-susman-44907717,True,18.0
263085567,Ambient Photonics,ambientphotonics.com,"Scotts Valley, California",,-19.05,Series A,30000000.0,Climate Pledge Fund,Sammaiah Thota (Co-founder and Staff Scientist): https://linkedin.com/in/sammaiah-thota-05bb313b,True,51.0
163289750,AMCS Group,amcsgroup.com,"Limerick, Ireland",,2.74,Other,,Ireland Strategic Investment Fund,Jimmy Martin (Chief Executive Officer): https://linkedin.com/in/jimmy-martin-8b992424b,True,825.0
221995599,AMEA Power,ameapower.com,"Dubai, United Arab Emirates",,,,,,,False,
edc8076d-78d9-4e6b-9d83-41e13d34c412,amfg corp.,,"Austin, Texas",,,,,,,False,
289771680,Amini,amini.ai,"Nairobi, Kenya",,-3.57,Seed,4000000.0,a network of angel investors,Kate Kallot (Founder & Chief Executive Officer): https://linkedin.com/in/katekallot,True,27.0
394f2676-6ce2-4ed4-a6b4-bd08385bbb7a,ammobia,,"San Francisco, CA",,,,,,,False,
224685424,AMMP Technologies,ammp.io,"Amsterdam, Netherlands",,0.0,Seed,1150000.0,Point Nine Capital,Hendrik Broering (Chief Product Officer & Co-Founder): https://linkedin.com/in/hendrik-broering,True,14.0
279070159,Amogy,amogy.co,"Brooklyn, NY",,,,,,,False,
1b5ef645-1618-485a-b666-b15fdc2f1ba8,amorsui,https://www.amorsui.com/,New York,,,,,,,False,
8fd50850-1d0b-4bcb-9357-09a6a44ca6b4,amp americas,,"Chicago, USA",,,,,,,False,
1807346,AMP Robotics,amprobotics.com,"Louisville, Kentucky",,4.0,Series C,99000000.0,Microsoft's Climate Innovation Fund,"James Bailey (Co-founder, CTO): https://linkedin.com/in/james-bailey-a927a722",True,262.0
295829180,Amp Robotics Corp,cogrob.org,"Louisville, CO",,,,,,,False,
295829180,Amp Robotics Corp,cogrob.org,"Denver, CO",,,,,,,False,
1799361,Ampacimon,ampacimon.com,"Ans, Belgium",,-1.45,Series C,10600000.0,Noshaq,Javier Ortego (CEO BlueBOX product-line): https://linkedin.com/in/jortego,True,68.0
224662033,Ampcera Inc.,ampcera.com,"Milpitas, CA",,,,,,,False,
220363238,ampcontrol.io,ampcontrol.io,"New York, New York",,-10.34,Series A,10000000.0,AngelPad,Henning Klüver (CO-Founder): https://linkedin.com/in/henningfkluever,True,26.0
1802410,Ampd Energy,ampd.energy,"Sha Tin, Hong Kong",,,,,,,False,
224467433,Ampeco,ampeco.global,"Sofia, Bulgaria",,,,,,"Stefan Ivanov (Co-founder, Chief Revenue Officer): https://linkedin.com/in/sivanovbg",True,
975ffbd9-86d8-4e89-9cef-bc88d5216b73,amped innovation,https://ampedinnovation.com/,"Palo Alto, CA",,,,,,,False,
935d46c0-7d31-451d-8b14-74cf67d4e1ca,ampere.cloud,https://ampere.cloud/,"Berlin, Germany",,,,,,,False,
301697649,Amperecloud,en.amperecloud.com,"Berlin, Germany",,,Series A,3786750.0,Vireo Ventures,Florian Strunck (COO & Co-Founder): https://linkedin.com/in/florianstrunck,True,
9d3078e9-6444-4db4-b874-080f7ac6aaa9,amperon,https://www.amperon.co/,New York,,,,,,,False,
286018472,AmphiStar,amphistar.com,"Ghent, Belgium",,,,,,,False,
293628968,AmpIn Energy Transition (Formerly Amp Energy India),ampin.energy,"New Delhi, India",,,,,,,False,
263211014,Ample,ample.com,"San Francisco, California",,0.54,Other,25000000.0,Mitsubishi Corporation,John de Souza (Co-founder & President): https://linkedin.com/in/johndesouza1,True,185.0
200337883,Amply Power,amplypower.com,"Mountain View, California",,-10.64,Series A,13200000.0,Siemens,SuzieQ Sharky (Founder - Principle Product Designer): https://linkedin.com/in/suzieqsharky,True,42.0
219982884,Ampotech,ampotech.com,Singapore,,,,,,,False,
220547791,AmpUp,ampup.io,"Cupertino, California",,8.0,Series A,15000000.0,TechNexus Venture Collaborative,,True,54.0
112510049,AMSilk,amsilk.com,"Planegg, Germany",,,,,,,False,
219924293,Anaphite,anaphite.com,"Bristol, U.K.",,,,,,,False,
